County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile
Yuma ,CO,17.4,26.5,7.5,44308,22498,8.2,10043,10202,1.6,4.2
Fairfield ,CT,14.4,23.6,5.7,82283,48721,9.1,916829,945438,3.1,1467.2
Hartford ,CT,15.6,21.7,5.4,64967,34698,11.6,894014,897985,0.4,1216.2
Litchfield ,CT,18.4,19.4,4.2,71338,37667,6.4,189927,184993,-2.6,206.3
Middlesex ,CT,17.7,19.4,4.5,76994,39992,6.4,165676,164943,-0.4,448.6
New Haven ,CT,15.6,21.1,5.3,61996,32523,12.4,862477,861277,-0.1,1426.7
New London ,CT,16,20.3,5.1,66583,33782,8.7,274055,273676,-0.1,412.2
Tolland ,CT,14,18.5,4,80529,34392,6.5,152691,151367,-0.9,372.2
Windham ,CT,14.7,20.7,5.2,59333,27893,11.4,118428,116998,-1.2,230.9
Kent ,DE,15.6,23.6,6.5,55149,24851,12.9,162310,171987,5.9,276.9
New Castle ,DE,13.8,22.2,6.1,64537,32406,10.7,538479,552778,2.7,1263.2
Sussex ,DE,24.2,19.5,5.6,52710,26908,13.4,197145,210849,7,210.6
District of Columbia,DC,11.3,17.5,6.5,65830,45290,18.6,601723,658893,9.5,9856.6
Alachua ,FL,12.5,18.1,5.6,42149,24857,24.9,247336,256380,3.7,282.7
Baker ,FL,12.9,24.8,6.3,49236,19852,17.3,27115,27093,-0.1,46.3
Bay ,FL,16.1,21.6,6.1,47461,24498,14.7,168852,178985,6,222.6
Bradford ,FL,17.6,20.2,5.8,40259,17749,18.2,28520,26702,-6.4,97
Brevard ,FL,22.6,18.7,4.6,48039,27009,13.5,543376,556885,2.5,535
Broward ,FL,15.3,21.5,5.8,51251,28205,14.3,1748066,1869235,6.9,1444.9
Calhoun ,FL,17.3,20.8,5.5,32780,14675,23.5,14625,14532,-0.6,25.8
Charlotte ,FL,37.7,13,3.1,44378,26286,12.6,159978,168474,5.3,235.2
Citrus ,FL,35.2,15,3.8,39100,23148,16.8,141236,139377,-1.3,242.8
Clay ,FL,14.2,24.2,5.5,59482,26577,9.8,190865,199798,4.7,315.8
Collier ,FL,29.4,18.3,4.8,55843,36439,14.1,321520,348777,8.5,160.9
Columbia ,FL,17.3,21.8,5.9,38070,19306,19.8,67531,67857,0.5,84.7
DeSoto ,FL,19.7,20.9,5.5,34963,15088,29.6,34862,35012,0.4,54.7
Dixie ,FL,22,19.1,5.6,33981,16851,17.4,16422,15907,-3.1,23.3
Duval ,FL,12.8,22.9,6.8,48323,26143,16.9,864263,897698,3.9,1133.9
Escambia ,FL,15.7,20.8,6,43918,23441,18.1,297619,310659,4.4,453.4
Flagler ,FL,28.4,18.1,4.2,47233,24497,16.6,95696,102408,7,197.1
Franklin ,FL,20.1,16.6,4.3,38328,19843,20.6,11549,11815,2.3,21.6
Gadsden ,FL,15.5,22.2,6.1,35380,17615,26.5,46389,46281,-3.1,89.8
Gilchrist ,FL,19.4,20.4,5.3,38406,20180,24.1,16939,16997,0.3,48.4
Glades ,FL,26.5,17.1,4,34694,16011,24.5,12884,13635,5.8,16
Gulf ,FL,18.1,15.5,4.3,40455,18546,16.4,15863,15944,0.5,28.1
Hamilton ,FL,15.9,19.3,5.4,37716,16295,23.6,14799,14048,-5.1,28.8
Hardee ,FL,14.8,26.7,7.2,37125,15366,29.6,27731,27469,-0.9,43.5
Hendry ,FL,12.7,28.1,7.7,35425,16133,26.7,39140,38505,-1.6,34
Hernando ,FL,27.5,18.7,4.4,41024,21411,15.4,172778,175855,1.8,365.6
Highlands ,FL,33.8,17.8,4.7,35560,20072,20.1,98786,98236,-0.6,97.2
Hillsborough ,FL,13.1,23.2,6.4,49596,27149,16.8,1229226,1316298,7.1,1204.9
Holmes ,FL,18.9,20.3,5,35511,16845,23.8,19927,19650,-1.4,41.6
Indian River ,FL,30,17.5,4.4,44772,30532,15.1,138028,144755,4.9,274.5
Jackson ,FL,18,18.8,4.9,36809,17525,19.9,49746,48801,-1.9,54.2
Jefferson ,FL,20.1,17.5,4.9,44170,21184,17.2,14761,14050,-4.8,24.7
Lafayette ,FL,14,20.1,5.1,39722,18660,20.2,8870,8835,-0.4,16.3
Lake ,FL,26,19.8,5,45035,24183,13.8,297052,315690,6.3,316.6
Lee ,FL,26.3,18.7,4.9,47439,27348,15.4,618754,679513,9.8,788.7
Leon ,FL,11.4,19.1,5.2,46369,26196,23.2,275487,283988,3.1,413.1
Levy ,FL,22.9,19.8,5,34348,18304,23.7,40801,39613,-2.9,36.5
Liberty ,FL,11.8,19,4.8,39681,16266,24.1,8365,8360,-0.1,10
Madison ,FL,17.9,20,5.5,33833,15538,22.5,19224,18518,-3.7,27.6
Manatee ,FL,25.5,19.5,5,47876,27322,15.1,322833,351746,9,434.5
Marion ,FL,27.9,18.8,4.9,39453,21992,18.1,331298,339167,2.4,209.1
Martin ,FL,29.3,16.8,4.1,49846,34057,13,146318,153392,4.5,269.2
Miami-Dade ,FL,15.2,20.6,5.8,43100,23174,19.9,2496435,2662874,6.6,1315.5
Monroe ,FL,20.5,15.3,4.6,53607,33974,13.5,73090,77136,5.5,74.3
Nassau ,FL,20,20.4,5.1,55315,28926,12.6,73314,76619,4.5,113
Okaloosa ,FL,15.1,22.2,6.7,54684,28600,13.4,180822,196512,8.7,194.4
Okeechobee ,FL,17.9,22.7,6.2,34570,17787,26.9,39996,39149,-2.1,52
Orange ,FL,10.8,22.7,6.2,47581,24877,17,1145956,1253001,9.3,1268.5
Osceola ,FL,12.7,25.1,6.4,43891,19007,17.9,268685,310211,15.5,202.4
Palm Beach ,FL,22.7,19.5,5.1,52432,32858,14.5,1320134,1397710,5.9,670.2
Pasco ,FL,22.5,20.5,5,43888,23736,13.9,464697,485331,4.4,622.2
Pinellas ,FL,23,17.1,4.5,45535,29262,14.1,916542,938098,2.3,3347.5
Polk ,FL,19.5,22.8,5.9,43113,21285,18.2,602095,634638,5.4,334.9
Putnam ,FL,21.1,21.6,5.7,32497,18377,26.4,74364,72143,-3,102.2
St. Johns ,FL,18.2,22,4.8,64876,36836,9.6,190039,217919,14.7,316.4
St. Lucie ,FL,22.6,20.8,5.2,43413,23285,18.4,277789,291028,5,485.7
Santa Rosa ,FL,14.5,22.6,5.7,57703,26861,12.3,151372,163422,8,149.6
Sarasota ,FL,33.9,15,3.7,49052,32313,12.2,379448,396962,4.6,682.6
Seminole ,FL,14.3,21.4,5.2,58175,28675,11.3,422718,442516,4.7,1367
Sumter ,FL,52.9,7.4,2,48493,27504,12,93420,114350,22.4,170.8
Suwannee ,FL,19.6,21.4,5.8,35698,18431,23.6,41551,44022,5.9,60.3
Taylor ,FL,18,19,5.3,36356,17045,16.7,22570,22582,0.1,21.6
Union ,FL,12.4,19.2,5.3,42660,13590,19.6,15535,15190,-2.2,63.8
Volusia ,FL,23.2,18,4.7,42457,23973,16.8,494593,507531,2.6,449.2
Wakulla ,FL,13.2,20.8,5.3,52691,21797,14.4,30776,31432,2.1,50.8
Walton ,FL,18.7,20.2,5.4,43640,25845,17.9,55043,61530,11.8,53
Washington ,FL,17.3,19.8,4.9,38501,17385,20.1,24896,24451,-1.8,42.7
Appling ,GA,15.6,25.4,6.9,36786,19643,22.9,18236,18540,1.7,36
Atkinson ,GA,11.8,28.1,8.4,30049,15958,32.2,8375,8223,-1.9,24.7
Bacon ,GA,14.1,26,6.9,33757,18558,19,11096,11281,1.7,42.9
Baker ,GA,17.8,20.6,5.1,27353,17019,31.8,3451,3255,-5.7,10.1
Baldwin ,GA,14.2,19.3,5.2,32751,18622,30,45720,45909,0.2,177.3
Banks ,GA,15.9,23.2,5.3,41141,20231,16.7,18395,18295,-0.5,79.3
Barrow ,GA,11.2,27.4,7.2,53274,21379,13.7,69367,73240,5.6,432.7
Bartow ,GA,12.8,25.2,6.4,47197,21022,17.1,100157,101736,1.6,217.9
Ben Hill ,GA,15.4,25.4,7.7,28547,14204,38.1,17634,17464,-1,70.5
Berrien ,GA,16.5,23.5,6.1,32258,16784,22.5,19286,18700,-3,42.7
Bibb ,GA,14,25.2,7.2,37550,20982,24.9,155547,153905,-1,622.8
Bleckley ,GA,16.7,21.5,5.4,36073,20156,23.3,13063,12795,-2.1,60.5
Brantley ,GA,14.7,25,5.7,36070,16938,21.9,18411,18417,0,41.6
Brooks ,GA,18.6,21.9,6.7,34419,19409,24,16243,15418,-5.6,32.9
Bryan ,GA,10.2,29.1,7.3,64707,27556,11.7,30233,33906,12.1,69.3
Bulloch ,GA,10.3,20.4,5.6,35840,18587,31.3,70217,72087,2.7,104.4
Burke ,GA,14.1,26.2,7,31494,16171,33.5,23316,22709,-2.6,28.2
Butts ,GA,14.3,22,5.8,49754,20363,14.5,23655,23368,-1.2,128.3
Calhoun ,GA,12.5,19,4.8,26986,14868,38.7,6694,6463,-3.5,23.9
Camden ,GA,11.3,25.2,7.6,51990,22701,15.5,50513,52027,3,82.4
Candler ,GA,16.7,25.6,6.3,35070,17974,25.9,10998,10888,-1,45.3
Carroll ,GA,12.5,24.2,6.4,46147,21227,18.9,110527,114093,3.2,221.5
Catoosa ,GA,16,23.6,5.8,47087,21690,13.9,63942,65621,2.6,394.3
Charlton ,GA,13.3,19,5.6,40111,17102,19.7,12171,12897,6,15.7
Chatham ,GA,13.6,22.2,6.9,45794,25093,19.1,265128,283379,6.9,621.7
Chattahoochee ,GA,4.1,22.6,9.5,48758,20042,11.9,11267,11837,5.1,45.3
Chattooga ,GA,16.5,22.6,5.6,33228,16045,24,26015,24939,-4.1,83
Cherokee ,GA,11.9,26,6.2,67261,29615,9.8,214346,230985,7.8,508.3
Clarke ,GA,9.7,17.6,5.8,33060,19295,36.7,116714,120938,3.6,979.1
Clay ,GA,23.3,21.8,6.6,21192,12982,44.5,3183,3102,-2.5,16.3
Clayton ,GA,8.3,28.3,7.8,40606,17950,24,259424,267542,3.1,1832.5
Clinch ,GA,15,25.9,7.6,30345,17815,29.1,6798,6831,0.5,8.5
Cobb ,GA,10.6,24.6,6.6,63920,33069,12.8,688078,730981,6.2,2026.4
Coffee ,GA,12.3,24.7,6.7,35693,17031,24.3,42356,42811,1.1,73.7
Colquitt ,GA,14,26.8,7.8,32484,17025,26.7,45498,46102,1.3,83.6
Columbia ,GA,11.8,26,6.3,69306,30949,8.3,124053,139257,12.3,427.6
Cook ,GA,14.7,26.6,6.7,34985,18592,23.1,17212,17214,0,75.8
Coweta ,GA,12.4,25.7,6.2,60813,26757,12.7,127317,135571,6.5,288.8
Crawford ,GA,16.9,21.2,5,41586,20556,20.6,12630,12387,-1.9,38.9
Crisp ,GA,16,24.9,6.8,35240,18185,31.2,23439,22934,-2.2,86
Dade ,GA,17,19.8,5.4,43205,21690,15.9,16633,16389,-1.5,95.6
Dawson ,GA,17.9,21.8,5.1,53525,27330,15.6,22330,22957,2.8,105.9
Decatur ,GA,15.4,24.7,6.9,30619,18059,27.1,27842,27220,-2.2,46.6
DeKalb ,GA,10.4,23.7,7.3,50856,28810,19,691893,722161,4.4,2585.7
Dodge ,GA,15.2,20.9,6.1,37292,18114,19.8,21796,20976,-3.8,44
Dooly ,GA,15.7,19.8,4.7,29012,14510,29,14918,14188,-4.9,38.1
Dougherty ,GA,13.6,24.9,7.4,31671,18619,31.2,94565,92407,-2.3,287.7
Douglas ,GA,10.3,26.9,6.6,52691,23626,16.1,132403,138776,4.9,661.8
Early ,GA,18.4,25.2,6.6,28853,17579,31.6,11008,10491,-4.7,21.5
Echols ,GA,11.3,27.7,8.8,31375,15861,31.3,4034,4003,-0.8,9.7
Effingham ,GA,10.8,26.9,6.6,63030,24824,11.2,52250,55423,6.1,109.4
Elbert ,GA,19.1,22,6,35817,18835,20.4,20166,19438,-3.6,57.4
Emanuel ,GA,15.8,25.1,6.9,32046,17064,29.4,22598,22755,0.7,33.2
Evans ,GA,15.1,26.7,7.7,36788,18998,27.9,11000,10898,-0.9,60.2
Fannin ,GA,25.6,17.7,4.5,34239,19164,23,23682,23753,0.3,61.2
Fayette ,GA,16.2,23.9,4.1,79977,35344,7.7,106567,109664,2.9,548.3
Floyd ,GA,15.7,23.5,6.1,40821,20500,21,96317,96063,-0.3,188.9
Forsyth ,GA,11.1,28.9,6.2,86569,34582,7.6,175511,204302,16.4,783.5
Franklin ,GA,18.7,21.9,5.7,34830,18234,18.9,22084,22264,0.8,84.5
Fulton ,GA,10.4,23.2,6.4,56857,36757,17.6,920581,996319,8.2,1748
Gilmer ,GA,22,20.5,5.3,39140,21317,21.7,28292,28829,1.9,66.3
Glascock ,GA,17.4,24,4.8,37760,17984,21.4,3082,3053,-0.9,21.4
Glynn ,GA,17.7,23.1,6.2,46407,26724,19.2,79626,82175,3.2,189.7
Gordon ,GA,13.3,25.6,6.5,40926,19177,21,55186,56047,1.6,155.1
Grady ,GA,16,25.7,6.8,30571,15734,30.1,25011,25359,1.4,55
Greene ,GA,26.2,19.1,5.4,42565,27828,22.3,15994,16490,3.1,41.3
Gwinnett ,GA,8.6,27.8,6.9,60445,25932,13.9,805321,877922,9,1871.2
Habersham ,GA,17.4,23.2,5.9,39306,18910,20.8,43041,43752,1.7,155.5
Hall ,GA,13.6,26.5,6.9,50853,23645,18.7,179684,190761,6.2,457.5
Hancock ,GA,20,16.3,4.5,25000,12381,30.6,9429,8509,-9.5,20
Haralson ,GA,16,24.4,5.9,39993,19789,22.8,28780,28641,-0.5,102
Harris ,GA,16.7,22,4.7,69223,31482,8,32024,32876,2.7,69
Hart ,GA,20.6,21.4,5.5,35615,20371,25.4,25213,25377,0.7,108.5
Heard ,GA,15.7,23.6,5.7,39909,18964,24.3,11834,11603,-2,40
Henry ,GA,10.4,27.1,5.9,60781,25299,11.2,203922,213869,4.9,633
Houston ,GA,11.7,25.7,6.9,54893,25195,15.2,139900,149111,6.6,372.5
Irwin ,GA,18.2,22.3,5.7,40771,18207,21.2,9538,9104,-4.6,26.9
Jackson ,GA,13.5,25.7,6.6,53179,23247,15.9,60485,61870,2.3,178.1
Jasper ,GA,15.5,24,6,42192,21297,21.7,13900,13432,-3.4,37.8
Jeff Davis ,GA,14.2,27.5,7.4,36296,17684,24.5,15068,14859,-1.4,45.6
Jefferson ,GA,17,24.1,6.3,26968,14757,31.5,16930,16272,-3.9,32.2
Jenkins ,GA,15.3,22.6,5.7,26104,17565,29.4,8340,9125,9.4,24
Johnson ,GA,15.5,19.6,4.5,36722,16807,22.8,9980,9701,-2.8,32.9
Jones ,GA,15.4,24.5,5.2,51497,24485,16.6,28669,28787,0.4,72.8
Lamar ,GA,16,20.7,5.5,41016,18800,18.9,18317,18207,-0.6,99.8
Lanier ,GA,12.1,25.6,7.8,39452,17264,26.7,10078,10373,3,54.4
Laurens ,GA,16.2,24.8,6.7,34793,18625,24.7,48434,47851,-1.2,60
Lee ,GA,10.7,26.8,6.4,60104,26357,11.2,28298,29191,3.2,79.5
Liberty ,GA,7.5,28.7,11.1,43832,20791,18.7,63453,65198,2.7,129.5
Lincoln ,GA,20.7,19.1,4.6,35625,20641,26.5,7996,7622,-4.7,38
Long ,GA,7.7,28.8,8.2,42651,17158,19.2,14464,17113,18.4,36.1
Lowndes ,GA,11,24.8,7.1,37365,18897,24.3,109233,113523,3.9,220.2
Lumpkin ,GA,15.7,18.9,5,43775,20908,18.1,29966,31176,4,105.9
McDuffie ,GA,15.9,25.2,6.2,37487,17922,22.2,21875,21370,-2.3,85
McIntosh ,GA,21.7,19,5.4,39068,21484,14.9,14333,14214,-0.8,33.8
Macon ,GA,14.9,19.9,4.9,30240,13865,29.4,14740,13792,-6.4,36.8
Madison ,GA,15.6,23.1,5.4,42549,19939,17.9,28120,28312,0.7,99.6
Marion ,GA,17,21.8,6.1,33301,17479,20.5,8742,8797,0.6,23.9
Meriwether ,GA,18.6,22.4,5.4,37333,18821,21.1,21992,21198,-3.6,43.9
Miller ,GA,19.6,23.4,6.2,32260,19674,23,6125,5958,-2.8,21.7
Mitchell ,GA,14.9,23.7,6,32054,15694,26.2,23498,22771,-3.1,45.9
Monroe ,GA,16.8,20.9,5.1,48630,22888,12.9,26424,27051,2.2,66.8
Montgomery ,GA,15.5,22.2,5.7,32702,16460,24.5,9123,8991,-1.4,38.1
Morgan ,GA,18.2,23,5.2,47729,25933,15.4,17868,17956,0.5,51.4
Murray ,GA,13.3,25.3,6.4,34888,16449,22.4,39628,39410,-0.6,115
Muscogee ,GA,12,24.3,7.6,41339,22856,19.6,189885,200887,5.4,877.5
Newton ,GA,11.9,27.1,6.7,50580,21484,15.2,99958,103675,3.7,367.3
Oconee ,GA,13.5,26.8,5.3,75004,33801,9.3,32808,35093,6.9,178
Oglethorpe ,GA,18,21.6,5.3,45729,20493,16.4,14899,14673,-1.5,33.9
Paulding ,GA,9.5,27.8,6.5,61837,24168,11.4,142324,148987,4.7,455.8
Peach ,GA,13.3,22.3,6,39844,19431,24.6,27695,26922,-2.8,184.3
Pickens ,GA,20.3,20.9,4.9,51383,26686,11.9,29431,29997,2,126.8
Pierce ,GA,15.6,25.4,6.6,39067,20001,20.5,18758,18991,1.2,59.3
Pike ,GA,14.6,24.9,5,53865,22191,11.2,17869,17784,-0.5,82.7
Polk ,GA,14.9,26,6.8,39208,18336,23.4,41475,41133,-0.8,133.6
Pulaski ,GA,18.9,19.7,4.5,41550,17781,15.7,12010,11483,-4.3,48.2
Putnam ,GA,21.5,21.3,5.9,44764,26321,14,21218,21192,-0.1,61.6
Quitman ,GA,27.7,17.6,4.5,31068,14201,26.4,2513,2315,-7.9,16.6
Rabun ,GA,25.5,18.3,4.2,35423,22260,21.5,16276,16243,-0.2,44
Randolph ,GA,20.9,20.6,5.7,30023,18094,25.4,7719,7313,-5.3,18
Richmond ,GA,12.6,23.7,7.2,37749,20526,25.1,200549,201368,0.4,618.4
Rockdale ,GA,12.8,25.6,6,52579,23461,14.7,85215,87754,3,656.5
Schley ,GA,14.7,27.7,5.1,38425,19037,22.3,5010,5163,3.1,30
Screven ,GA,16.8,22.7,6.6,34848,18640,27,14593,14085,-3.5,22.6
Seminole ,GA,21.8,21.8,5.6,30521,17641,26,8729,8686,-0.5,37.1
Spalding ,GA,16.1,24.5,6.6,41534,19783,21.5,64073,63988,-0.1,326.1
Stephens ,GA,18.3,22.4,5.8,37898,18557,19.8,26175,25480,-2.7,146.1
Stewart ,GA,15.3,15.4,4.4,23451,13238,30.7,6058,5744,-5.2,13.2
Sumter ,GA,14.8,24,6.5,33796,17879,32.3,32819,31232,-4.8,68
Talbot ,GA,19.1,18.8,4.5,32424,16993,21.8,6865,6390,-6.9,17.5
Taliaferro ,GA,22.4,18.5,6.5,25465,14381,30,1717,1693,-1.4,8.8
Tattnall ,GA,12.5,21.2,5.9,37587,15280,27.4,25520,25224,-1.2,53.2
Taylor ,GA,18.2,21,5.1,27455,17078,28.2,8906,8442,-5.2,23.6
Telfair ,GA,15.3,17.7,4.2,26634,12489,30.5,16500,16518,0.1,37.7
Terrell ,GA,17.7,23.6,6.9,32628,16836,31.6,9315,9132,-3.9,27.8
Thomas ,GA,16.8,24.1,6.5,34035,19983,26.5,44720,44959,0.5,82.1
Tift ,GA,14,25.1,6.6,34591,18933,27.9,40118,40704,1.5,154.9
Toombs ,GA,15.2,27.3,7.7,31189,18716,26.9,27223,27282,0.2,74.8
Towns ,GA,32.2,13.8,3.7,36570,20419,16.3,10471,11098,6,62.9
Treutlen ,GA,15,24.5,6.3,37894,19410,25.8,6885,6778,-1.6,34.5
Troup ,GA,13.7,25.3,6.7,41161,21443,23.6,67044,69469,3.6,161.9
Turner ,GA,18.6,26.3,6,28326,17609,22,8930,8153,-8.7,31.3
Twiggs ,GA,19.6,19.1,5.5,31234,17952,28.7,9023,8320,-7.8,25.2
Union ,GA,31.3,16.8,3.3,40009,22156,17.7,21356,21984,2.9,66.3
Upson ,GA,17.8,22.4,6.4,35329,17978,20.5,27153,26256,-3.3,84
Walker ,GA,16.6,22.7,5.5,39963,20865,16.7,68756,68218,-0.8,154
Walton ,GA,14.2,25.9,6.2,52369,22824,13.8,83768,87615,4.6,257.2
Ware ,GA,16.2,23.8,6.9,34572,18842,24.3,36312,35515,-2.2,40.7
Warren ,GA,20.3,21.5,5.8,27796,17884,31.6,5834,5520,-5.4,20.5
Washington ,GA,16,22.3,6.1,33652,17515,25,21187,20635,-2.6,31.2
Wayne ,GA,14.7,24.4,6.8,35830,17270,22.7,30099,29949,-0.5,46.9
Webster ,GA,19.7,21.3,3.5,35718,19082,22.5,2799,2649,-5.4,13.4
Wheeler ,GA,12.8,16.9,4.3,24382,8948,31.3,7421,7995,7.7,25.1
White ,GA,20.6,21.3,4.8,40670,22059,20.1,27144,27970,3,112.8
Whitfield ,GA,12.7,27,7.1,40471,19497,20.5,102599,103542,0.9,353.2
Wilcox ,GA,16,18.8,5.1,32928,13228,27.8,9255,8847,-4.4,24.5
Wilkes ,GA,21.4,21.7,5.8,28983,17120,27.3,10593,9940,-6.2,22.6
Wilkinson ,GA,17.9,22.7,6.3,36173,17228,21.3,9563,9326,-2.5,21.4
Worth ,GA,16.9,22.7,6,35792,18551,20.2,21679,20940,-3.4,38
Hawaii ,HI,17.5,22,6.2,51250,24635,18.3,185079,194190,4.9,45.9
Honolulu ,HI,15.8,21.5,6.5,72764,30361,9.8,953207,991788,4,1586.7
Kalawao ,HI,29.2,0,0,59375,45515,14.7,90,89,-1.1,7.5
Kauai ,HI,17.4,22.3,6.4,62052,26658,11.2,67091,70475,5,108.2
Maui ,HI,15.1,22.3,6.2,63512,29517,10.6,154834,163019,5.3,133.3
Ada ,ID,12.6,25.1,6.2,55210,27452,13.1,392365,426236,8.6,372.8
Adams ,ID,24.9,17,4.2,35434,21555,16.6,3976,3861,-2.9,2.9
Bannock ,ID,12.8,26.8,7.3,43534,21327,15.5,82839,83347,0.6,74.5
Bear Lake ,ID,19.6,27.6,7.3,44964,21853,12.9,5986,5957,-0.5,6.1
Benewah ,ID,21.2,22.2,5.7,39049,20198,14.7,9285,9118,-1.8,12
Bingham ,ID,12.9,31.7,8.6,47941,18872,15.2,45607,45269,-0.7,21.8
Blaine ,ID,15.8,23.2,5.2,64042,35524,8.3,21376,21482,0.5,8.1
Boise ,ID,21.3,18.6,3.2,41056,24324,17,7028,6824,-2.9,3.7
Bonner ,ID,21.4,20.3,4.9,41414,23221,15.2,40877,41585,1.7,23.6
Bonneville ,ID,12.1,31.3,8.9,50872,22657,11.4,104234,108623,4.1,55.9
Boundary ,ID,20.5,22.9,5.1,37003,19877,16.5,10972,10979,0.1,8.6
Butte ,ID,19.6,25.6,4.9,41131,20995,15.7,2891,2622,-9.4,1.3
Camas ,ID,18.6,24.4,5.7,41154,21830,15.5,1117,1039,-7,1
Canyon ,ID,12.5,29.9,7.9,42105,17755,20.4,188923,203143,7.5,321.6
Caribou ,ID,16.8,28.6,7.4,53586,23586,7.8,6963,6837,-1.8,3.9
Cassia ,ID,13.5,32.3,8.3,42039,17801,15.9,22952,23540,2.5,8.9
Clark ,ID,14.8,28,5.9,33200,20032,14.9,982,867,-11.7,0.6
Clearwater ,ID,25.4,16.3,4,40134,20256,12.5,8761,8562,-2.3,3.6
Custer ,ID,23.8,17.5,4.3,39541,23965,16.1,4368,4140,-5.2,0.9
Elmore ,ID,11.8,26.4,8,42842,20646,16.3,27038,26094,-3.5,8.8
Franklin ,ID,13.6,34,8,44962,17620,12.2,12786,13021,1.8,19.3
Fremont ,ID,16,28.4,6.9,44520,19475,12.4,13242,12867,-2.8,7.1
Gem ,ID,21.4,23.6,5.7,44432,20250,18.2,16719,16866,0.9,29.8
Gooding ,ID,16.4,28.2,6.9,37050,18373,20.8,15464,15064,-2.6,21.2
Idaho ,ID,24,20,5.2,37349,19168,17.5,16267,16215,-0.3,1.9
Jefferson ,ID,11.1,34.8,8.8,52023,19598,13.1,26140,27021,3.4,23.9
Jerome ,ID,12.1,30.8,9.2,40126,17182,18.3,22374,22818,2,37.5
Kootenai ,ID,17,23.6,6.1,49002,24685,13.4,138494,147326,6.4,111.3
Latah ,ID,11.8,18.5,5.8,41735,22322,20.4,37244,38411,3.1,34.6
Lemhi ,ID,27.3,18.2,4,34122,23998,23.3,7936,7726,-2.6,1.7
Lewis ,ID,24.1,23,5.3,36000,19910,17.9,3821,3838,0.4,8
Lincoln ,ID,12.3,30.9,7,42433,16530,16.6,5208,5316,2.1,4.3
Madison ,ID,6,27,10,32059,15133,35.8,37536,38038,1.3,80
Minidoka ,ID,15.5,28.9,8.2,43266,19597,13.6,20069,20323,1.3,26.5
Nez Perce ,ID,18.9,21.7,6.2,46503,24257,11.1,39265,40007,1.9,46.3
Oneida ,ID,19.3,28,6.7,40842,18920,16.1,4286,4184,-2.4,3.6
Owyhee ,ID,16.3,26.6,6.4,32175,15945,24.2,11526,11353,-1.5,1.5
Payette ,ID,17,27.1,6.9,43649,19165,20,22623,22836,0.9,55.6
Power ,ID,13.9,30.5,9.9,44212,17684,13.9,7817,7617,-2.6,5.6
Shoshone ,ID,21.7,19.7,5.2,38440,20487,17.4,12765,12390,-2.9,4.9
Teton ,ID,8.6,27.8,7.8,53931,22436,11.7,10170,10341,1.7,22.6
Twin Falls ,ID,14.8,27.6,7.7,43886,20588,15,77230,80914,4.8,40.2
Valley ,ID,21.6,18.3,4.3,50473,25785,9.5,9862,9826,-0.4,2.7
Washington ,ID,22.7,23.4,5,37453,20380,15,10198,10021,-1.7,7
Adams ,IL,18.7,22.5,6.2,45073,24217,14.4,67103,66988,-0.2,78.5
Alexander ,IL,18.2,22.9,6.4,26972,13619,31.6,8238,7492,-9.1,35
Bond ,IL,16.5,19.4,4.5,48163,23195,14.6,17768,17269,-2.8,46.7
Boone ,IL,14,26.1,5.7,60893,25888,11.3,54165,53869,-0.6,193
Brown ,IL,13,15,3.8,42194,20555,12.3,6937,6832,-1.5,22.7
Bureau ,IL,19.9,21.8,5,48977,26705,11.6,34978,33840,-3.3,40.2
Calhoun ,IL,22.8,20.4,5.2,50436,26924,11.9,5089,4956,-2.6,20
Carroll ,IL,23.6,19.1,4.5,47985,27118,13.7,15387,14715,-4.4,34.6
Cass ,IL,16.4,24.5,6.4,45734,22257,14.8,13642,13156,-3.5,36.3
Champaign ,IL,11.1,19.2,5.5,45808,25713,22.3,201081,207133,3,201.8
Christian ,IL,18.6,21.2,5.5,45145,23915,14.9,34800,33892,-2.6,49.1
Clark ,IL,18.7,22.8,5.8,47405,24296,12.3,16335,16180,-0.9,32.6
Clay ,IL,18.8,22.9,6.5,40640,22279,15.6,13815,13520,-2.1,29.5
Clinton ,IL,16,21.5,5.5,61720,27802,8.9,37762,37857,0.3,79.7
Coles ,IL,15,18,4.9,37040,21970,22,53873,53320,-1,106
Cook ,IL,12.9,22.6,6.5,54548,30183,16.9,5194675,5246456,1,5495.1
Crawford ,IL,18.3,19.8,5.4,46216,25214,14.4,19817,19393,-2.1,44.7
Cumberland ,IL,17.6,22.8,5.4,43958,22952,13.9,11048,10833,-1.9,31.9
DeKalb ,IL,11.1,21.7,5.8,53375,23696,19,105160,105462,0.3,166.6
De Witt ,IL,18.1,21.6,5.5,51051,26704,14,16561,16284,-1.7,41.7
Douglas ,IL,16.3,25.5,6.7,52741,23732,10.3,19980,19889,-0.5,48
DuPage ,IL,13.5,23.4,5.9,78487,38570,6.9,916924,932708,1.7,2799.8
Edgar ,IL,20.4,21.1,5,42133,23368,18.4,18576,17841,-4,29.8
Edwards ,IL,19.2,23,5.7,39075,20898,11.4,6721,6617,-1.5,30.2
Effingham ,IL,16.8,23.7,6.5,52108,27051,9.1,34242,34320,0.2,71.5
